Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.620,0.640,0.705,0.610,72.42M,5.08%
"Sep 14, 2020",0.590,0.485,0.590,0.480,28.19M,29.67%
"Sep 11, 2020",0.455,0.395,0.470,0.380,25.91M,10.98%
"Sep 10, 2020",0.410,0.495,0.500,0.370,29.77M,-15.46%
"Sep 09, 2020",0.485,0.540,0.540,0.485,18.62M,-11.01%
"Sep 08, 2020",0.545,0.595,0.600,0.530,18.13M,-6.84%
"Sep 07, 2020",0.585,0.610,0.625,0.570,18.88M,-4.10%
"Sep 04, 2020",0.610,0.575,0.630,0.575,20.00M,-0.81%
"Sep 03, 2020",0.615,0.605,0.655,0.585,30.27M,3.36%
"Sep 02, 2020",0.595,0.680,0.695,0.580,26.94M,-13.14%
"Sep 01, 2020",0.685,0.705,0.735,0.680,38.24M,0.74%
"Aug 28, 2020",0.680,0.690,0.720,0.650,25.37M,0.00%
"Aug 27, 2020",0.680,0.700,0.770,0.630,58.83M,-4.23%
"Aug 26, 2020",0.710,0.780,0.865,0.710,136.26M,-12.88%
"Aug 25, 2020",0.815,0.625,0.870,0.500,454.90M,29.37%
"Aug 24, 2020",0.630,0.575,0.650,0.530,158.88M,32.63%
"Aug 21, 2020",0.475,0.580,0.580,0.405,177.93M,63.79%
"Aug 19, 2020",0.290,0.285,0.300,0.275,10.46M,3.57%
"Aug 18, 2020",0.280,0.280,0.305,0.275,26.02M,1.82%
"Aug 17, 2020",0.275,0.250,0.295,0.245,24.01M,12.24%
