Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.530,0.495,0.535,0.495,416.60K,8.16%
"Nov 25, 2020",0.490,0.490,0.495,0.490,151.90K,-1.01%
"Nov 24, 2020",0.495,0.485,0.495,0.485,412.20K,2.06%
"Nov 23, 2020",0.485,0.470,0.515,0.470,1.37M,6.59%
"Nov 20, 2020",0.455,0.460,0.460,0.440,64.80K,-2.15%
"Nov 19, 2020",0.465,0.470,0.470,0.455,182.60K,3.33%
"Nov 18, 2020",0.450,0.460,0.470,0.450,137.50K,-4.26%
"Nov 17, 2020",0.470,0.465,0.470,0.460,219.10K,1.08%
"Nov 16, 2020",0.465,0.455,0.475,0.455,407.10K,5.68%
"Nov 13, 2020",0.440,0.430,0.440,0.430,42.50K,2.33%
"Nov 12, 2020",0.430,0.455,0.455,0.430,8.00K,-5.49%
"Nov 11, 2020",0.455,0.445,0.455,0.430,207.00K,3.41%
"Nov 10, 2020",0.440,0.420,0.440,0.420,192.20K,0.00%
"Nov 06, 2020",0.440,0.440,0.445,0.440,265.00K,-1.12%
"Nov 05, 2020",0.445,0.420,0.445,0.410,129.00K,5.95%
"Nov 04, 2020",0.420,0.420,0.420,0.420,23.00K,0.00%
"Nov 03, 2020",0.420,0.420,0.420,0.420,39.80K,0.00%
"Nov 02, 2020",0.420,0.420,0.420,0.420,7.00K,0.00%
"Oct 30, 2020",0.420,0.420,0.420,0.420,9.50K,-4.55%
"Oct 26, 2020",0.440,0.445,0.445,0.440,2.50K,-1.12%
