Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.840,1.870,1.880,1.840,270.10K,-0.54%
"Nov 25, 2020",1.850,1.830,1.850,1.830,85.80K,1.65%
"Nov 24, 2020",1.820,1.850,1.880,1.820,80.90K,-1.09%
"Nov 23, 2020",1.840,1.830,1.870,1.820,59.10K,1.10%
"Nov 20, 2020",1.820,1.860,1.860,1.820,40.20K,0.55%
"Nov 19, 2020",1.810,1.810,1.830,1.810,31.00K,-0.55%
"Nov 18, 2020",1.820,1.830,1.850,1.790,218.30K,1.11%
"Nov 17, 2020",1.800,1.830,1.840,1.800,92.20K,-1.10%
"Nov 16, 2020",1.820,1.830,1.850,1.820,30.90K,-0.55%
"Nov 13, 2020",1.830,1.850,1.850,1.820,28.00K,0.55%
"Nov 12, 2020",1.820,1.840,1.840,1.800,65.40K,0.00%
"Nov 11, 2020",1.820,1.820,1.820,1.760,70.10K,0.00%
"Nov 10, 2020",1.820,1.830,1.830,1.810,119.30K,1.11%
"Nov 09, 2020",1.800,1.830,1.830,1.790,94.30K,-0.55%
"Nov 06, 2020",1.810,1.900,1.900,1.810,85.10K,-2.16%
"Nov 05, 2020",1.850,1.850,1.850,1.850,47.50K,1.65%
"Nov 04, 2020",1.820,1.820,1.920,1.810,26.10K,1.11%
"Nov 03, 2020",1.800,1.850,1.850,1.800,20.00K,-2.70%
"Nov 02, 2020",1.850,1.850,1.850,1.850,25.80K,-1.07%
"Oct 30, 2020",1.870,1.900,1.910,1.840,50.50K,-0.53%
"Oct 28, 2020",1.880,1.840,1.880,1.820,32.50K,1.62%
"Oct 27, 2020",1.850,1.850,1.900,1.850,327.00K,-1.07%
"Oct 26, 2020",1.870,1.870,1.880,1.870,19.50K,0.00%
