Date,Price,Open,High,Low,Vol.,Change %
"Aug 26, 2020",0.760,0.790,0.790,0.760,11.50K,1.33%
"Aug 25, 2020",0.750,0.770,0.770,0.750,36.40K,-1.32%
"Aug 21, 2020",0.760,0.800,0.800,0.760,36.10K,1.33%
"Aug 19, 2020",0.750,0.800,0.800,0.750,56.40K,-1.32%
"Aug 18, 2020",0.760,0.760,0.760,0.760,0.60K,-7.32%
"Aug 17, 2020",0.820,0.820,0.820,0.820,9.60K,0.00%
"Aug 14, 2020",0.820,0.820,0.820,0.820,5.00K,0.00%
"Aug 13, 2020",0.820,0.820,0.820,0.820,3.30K,-1.20%
"Aug 12, 2020",0.830,0.830,0.830,0.830,12.00K,-0.60%
"Aug 10, 2020",0.835,0.900,0.900,0.830,16.00K,-10.70%
"Aug 06, 2020",0.935,0.820,0.935,0.820,37.50K,5.06%
"Aug 05, 2020",0.890,0.880,0.890,0.880,42.10K,-1.11%
"Aug 03, 2020",0.900,0.900,0.900,0.900,2.00K,0.00%
