Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.165,0.175,0.175,0.165,409.10K,-2.94%
"Aug 28, 2020",0.170,0.170,0.175,0.170,2.35M,0.00%
"Aug 27, 2020",0.170,0.175,0.175,0.165,2.51M,0.00%
"Aug 26, 2020",0.170,0.170,0.175,0.170,1.82M,3.03%
"Aug 25, 2020",0.165,0.170,0.175,0.165,1.64M,-5.71%
"Aug 24, 2020",0.175,0.170,0.175,0.170,2.49M,2.94%
"Aug 21, 2020",0.170,0.165,0.170,0.165,1.33M,3.03%
"Aug 19, 2020",0.165,0.165,0.170,0.165,1.59M,0.00%
"Aug 18, 2020",0.165,0.165,0.170,0.165,1.03M,-2.94%
"Aug 17, 2020",0.170,0.165,0.170,0.165,1.35M,3.03%
"Aug 14, 2020",0.165,0.170,0.170,0.160,5.99M,-2.94%
"Aug 13, 2020",0.170,0.175,0.180,0.170,1.67M,-2.86%
"Aug 12, 2020",0.175,0.180,0.180,0.170,4.60M,-2.78%
"Aug 11, 2020",0.180,0.170,0.190,0.165,17.22M,9.09%
"Aug 10, 2020",0.165,0.175,0.175,0.165,8.05M,-5.71%
"Aug 07, 2020",0.175,0.175,0.180,0.170,4.49M,0.00%
"Aug 06, 2020",0.175,0.170,0.180,0.170,7.16M,6.06%
"Aug 05, 2020",0.165,0.165,0.170,0.160,4.35M,0.00%
"Aug 04, 2020",0.165,0.165,0.165,0.160,2.11M,-2.94%
"Aug 03, 2020",0.170,0.170,0.170,0.165,1.09M,0.00%
