Date,Price,Open,High,Low,Vol.,Change %
"Aug 28, 2020",2.50,2.60,2.60,2.50,1.40K,-1.96%
"Aug 27, 2020",2.55,2.55,2.55,2.46,17.00K,4.08%
"Aug 26, 2020",2.45,2.46,2.46,2.45,1.00K,-1.21%
"Aug 25, 2020",2.48,2.50,2.50,2.44,16.60K,-0.80%
"Aug 24, 2020",2.50,2.46,2.50,2.45,2.60K,2.88%
"Aug 21, 2020",2.43,2.41,2.44,2.41,34.50K,1.25%
"Aug 14, 2020",2.40,2.42,2.42,2.40,4.10K,0.00%
"Aug 12, 2020",2.40,2.40,2.40,2.40,1.00K,-7.69%
"Aug 06, 2020",2.60,2.60,2.60,2.60,14.00K,0.00%
"Aug 03, 2020",2.60,2.50,2.62,2.50,4.30K,4.00%
