Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.485,0.495,0.495,0.485,128.00K,-2.02%
"Aug 28, 2020",0.495,0.505,0.505,0.490,227.40K,-1.98%
"Aug 27, 2020",0.505,0.525,0.540,0.495,1.36M,6.32%
"Aug 26, 2020",0.475,0.460,0.490,0.460,513.00K,1.06%
"Aug 25, 2020",0.470,0.505,0.515,0.465,1.28M,-6.00%
"Aug 24, 2020",0.500,0.475,0.545,0.470,5.83M,13.64%
"Aug 21, 2020",0.440,0.445,0.470,0.420,1.72M,2.33%
"Aug 19, 2020",0.430,0.420,0.435,0.405,647.30K,8.86%
"Aug 18, 2020",0.395,0.380,0.400,0.380,77.50K,3.95%
"Aug 17, 2020",0.380,0.390,0.405,0.380,324.90K,-2.56%
"Aug 14, 2020",0.390,0.405,0.425,0.390,511.60K,-1.27%
"Aug 13, 2020",0.395,0.405,0.410,0.390,348.00K,0.00%
"Aug 12, 2020",0.395,0.410,0.415,0.390,1.03M,-2.47%
"Aug 11, 2020",0.405,0.415,0.425,0.405,437.40K,-2.41%
"Aug 10, 2020",0.415,0.445,0.450,0.405,1.20M,-6.74%
"Aug 07, 2020",0.445,0.525,0.525,0.440,1.27M,-9.18%
"Aug 06, 2020",0.490,0.395,0.640,0.395,6.67M,32.43%
"Aug 05, 2020",0.370,0.370,0.370,0.370,76.90K,-1.33%
"Aug 04, 2020",0.375,0.370,0.375,0.365,51.90K,-2.60%
"Aug 03, 2020",0.385,0.370,0.390,0.365,253.70K,5.48%
