Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.330,1.310,1.330,1.300,1.13M,2.31%
"Nov 25, 2020",1.300,1.340,1.350,1.300,2.84M,-2.26%
"Nov 24, 2020",1.330,1.360,1.360,1.330,2.51M,-1.48%
"Nov 23, 2020",1.350,1.330,1.360,1.320,4.02M,1.50%
"Nov 20, 2020",1.330,1.320,1.330,1.310,4.44M,0.76%
"Nov 19, 2020",1.320,1.320,1.320,1.300,6.35M,0.00%
"Nov 18, 2020",1.320,1.350,1.350,1.300,7.79M,-2.22%
"Nov 17, 2020",1.350,1.270,1.350,1.270,10.81M,6.30%
"Nov 16, 2020",1.270,1.250,1.280,1.250,5.12M,2.42%
"Nov 13, 2020",1.240,1.260,1.270,1.240,4.54M,-1.59%
"Nov 12, 2020",1.260,1.240,1.270,1.220,5.84M,2.44%
"Nov 11, 2020",1.230,1.270,1.280,1.230,7.12M,-2.38%
"Nov 10, 2020",1.260,1.250,1.270,1.240,4.08M,1.61%
"Nov 09, 2020",1.240,1.280,1.290,1.240,5.26M,-3.12%
"Nov 06, 2020",1.280,1.260,1.290,1.260,1.90M,2.40%
"Nov 05, 2020",1.250,1.270,1.290,1.250,4.80M,-5.30%
"Nov 04, 2020",1.320,1.330,1.350,1.310,3.94M,-1.49%
"Nov 03, 2020",1.340,1.330,1.350,1.330,1.55M,0.00%
"Nov 02, 2020",1.340,1.350,1.350,1.330,2.64M,0.00%
"Oct 30, 2020",1.340,1.350,1.350,1.330,2.20M,-0.74%
"Oct 28, 2020",1.350,1.350,1.360,1.340,3.58M,0.00%
"Oct 27, 2020",1.350,1.380,1.380,1.350,6.96M,-2.17%
"Oct 26, 2020",1.380,1.380,1.380,1.360,1.65M,0.00%
