Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.840,0.825,0.840,0.820,858.80K,1.82%
"Nov 25, 2020",0.825,0.810,0.830,0.810,640.10K,1.85%
"Nov 24, 2020",0.810,0.810,0.810,0.805,416.50K,0.00%
"Nov 23, 2020",0.810,0.805,0.815,0.805,593.50K,-0.61%
"Nov 20, 2020",0.815,0.820,0.820,0.800,551.70K,1.24%
"Nov 19, 2020",0.805,0.810,0.815,0.800,589.90K,-1.23%
"Nov 18, 2020",0.815,0.835,0.840,0.815,536.60K,-1.81%
"Nov 17, 2020",0.830,0.820,0.830,0.805,1.10M,1.22%
"Nov 16, 2020",0.820,0.805,0.820,0.795,756.30K,1.86%
"Nov 13, 2020",0.805,0.810,0.810,0.795,482.00K,-0.62%
"Nov 12, 2020",0.810,0.780,0.815,0.780,671.70K,3.18%
"Nov 11, 2020",0.785,0.780,0.785,0.780,295.60K,0.00%
"Nov 10, 2020",0.785,0.785,0.795,0.775,472.70K,1.29%
"Nov 09, 2020",0.775,0.770,0.780,0.770,343.20K,0.65%
"Nov 06, 2020",0.770,0.785,0.790,0.770,306.90K,-1.91%
"Nov 05, 2020",0.785,0.785,0.785,0.765,427.50K,1.95%
"Nov 04, 2020",0.770,0.755,0.785,0.755,834.20K,1.99%
"Nov 03, 2020",0.755,0.750,0.755,0.740,141.60K,0.67%
"Nov 02, 2020",0.750,0.740,0.755,0.730,270.40K,0.67%
"Oct 30, 2020",0.745,0.765,0.765,0.745,728.20K,-3.25%
"Oct 28, 2020",0.770,0.770,0.780,0.765,254.00K,-1.28%
"Oct 27, 2020",0.780,0.775,0.780,0.770,404.10K,-0.64%
"Oct 26, 2020",0.785,0.780,0.785,0.770,345.00K,-0.63%
