Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.315,0.360,0.360,0.300,6.39M,-5.97%
"Aug 28, 2020",0.335,0.280,0.335,0.270,7.30M,21.82%
"Aug 27, 2020",0.275,0.265,0.285,0.265,991.90K,1.85%
"Aug 26, 2020",0.270,0.255,0.270,0.255,520.00K,5.88%
"Aug 25, 2020",0.255,0.265,0.265,0.255,304.90K,-5.56%
"Aug 24, 2020",0.270,0.265,0.275,0.265,93.20K,1.89%
"Aug 21, 2020",0.265,0.270,0.275,0.265,451.70K,-3.64%
"Aug 19, 2020",0.275,0.270,0.275,0.270,1.00M,3.77%
"Aug 18, 2020",0.265,0.275,0.275,0.265,134.90K,0.00%
"Aug 17, 2020",0.265,0.280,0.285,0.265,343.30K,-1.85%
"Aug 14, 2020",0.270,0.265,0.280,0.255,616.20K,3.85%
"Aug 13, 2020",0.260,0.270,0.275,0.255,189.60K,-3.70%
"Aug 12, 2020",0.270,0.280,0.280,0.250,447.00K,-3.57%
"Aug 11, 2020",0.280,0.275,0.285,0.275,1.09M,1.82%
"Aug 10, 2020",0.275,0.255,0.275,0.255,610.00K,7.84%
"Aug 07, 2020",0.255,0.265,0.265,0.255,308.50K,-1.92%
"Aug 06, 2020",0.260,0.265,0.270,0.255,857.30K,-1.89%
"Aug 05, 2020",0.265,0.245,0.265,0.245,440.60K,6.00%
"Aug 04, 2020",0.250,0.240,0.250,0.240,177.30K,4.17%
"Aug 03, 2020",0.240,0.240,0.255,0.240,435.40K,-2.04%
