Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.670,0.655,0.685,0.650,4.42M,2.29%
"Aug 28, 2020",0.655,0.645,0.655,0.640,4.55M,1.55%
"Aug 27, 2020",0.645,0.640,0.655,0.640,3.08M,0.00%
"Aug 26, 2020",0.645,0.645,0.650,0.630,3.04M,-0.77%
"Aug 25, 2020",0.650,0.640,0.655,0.620,3.41M,-1.52%
"Aug 24, 2020",0.660,0.645,0.660,0.635,4.14M,2.33%
"Aug 21, 2020",0.645,0.655,0.655,0.640,3.63M,-1.53%
"Aug 19, 2020",0.655,0.650,0.665,0.630,3.07M,0.77%
"Aug 18, 2020",0.650,0.625,0.655,0.610,4.35M,3.17%
"Aug 17, 2020",0.630,0.630,0.630,0.600,2.82M,0.00%
"Aug 14, 2020",0.630,0.645,0.645,0.625,3.70M,-2.33%
"Aug 13, 2020",0.645,0.650,0.655,0.620,3.60M,-0.77%
"Aug 12, 2020",0.650,0.670,0.670,0.570,5.94M,-1.52%
"Aug 11, 2020",0.660,0.670,0.705,0.630,9.55M,1.54%
"Aug 10, 2020",0.650,0.570,0.655,0.570,11.97M,14.04%
"Aug 07, 2020",0.570,0.570,0.580,0.535,7.23M,3.64%
"Aug 06, 2020",0.550,0.490,0.560,0.490,11.11M,14.58%
"Aug 05, 2020",0.480,0.450,0.480,0.440,5.98M,7.87%
"Aug 04, 2020",0.445,0.445,0.450,0.430,3.09M,1.14%
"Aug 03, 2020",0.440,0.430,0.445,0.420,2.29M,2.33%
