Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.235,0.230,0.235,0.230,1.51M,4.44%
"Aug 28, 2020",0.225,0.230,0.235,0.225,9.52M,0.00%
"Aug 27, 2020",0.225,0.225,0.230,0.225,2.62M,-2.17%
"Aug 26, 2020",0.230,0.225,0.230,0.225,11.63M,0.00%
"Aug 25, 2020",0.230,0.240,0.240,0.230,4.88M,-4.17%
"Aug 24, 2020",0.240,0.235,0.240,0.235,5.46M,2.13%
"Aug 21, 2020",0.235,0.240,0.245,0.235,6.12M,0.00%
"Aug 19, 2020",0.235,0.230,0.245,0.230,10.62M,2.17%
"Aug 18, 2020",0.230,0.230,0.240,0.230,5.63M,-2.13%
"Aug 17, 2020",0.235,0.235,0.240,0.230,2.55M,2.17%
"Aug 14, 2020",0.230,0.240,0.245,0.230,5.25M,-4.17%
"Aug 13, 2020",0.240,0.240,0.250,0.235,24.04M,2.13%
"Aug 12, 2020",0.235,0.240,0.240,0.230,9.58M,-2.08%
"Aug 11, 2020",0.240,0.245,0.255,0.240,18.05M,0.00%
"Aug 10, 2020",0.240,0.245,0.245,0.235,6.54M,-2.04%
"Aug 07, 2020",0.245,0.245,0.250,0.240,6.75M,0.00%
"Aug 06, 2020",0.245,0.250,0.255,0.240,18.54M,-2.00%
"Aug 05, 2020",0.250,0.265,0.265,0.245,13.91M,-1.96%
"Aug 04, 2020",0.255,0.235,0.260,0.230,30.52M,8.51%
"Aug 03, 2020",0.235,0.240,0.245,0.230,12.18M,-2.08%
