Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",11.52,11.56,11.58,11.46,626.90K,-0.35%
"Aug 28, 2020",11.56,11.54,11.56,11.46,323.00K,0.35%
"Aug 27, 2020",11.52,11.54,11.54,11.48,220.30K,0.00%
"Aug 26, 2020",11.52,11.40,11.52,11.40,1.20M,1.05%
"Aug 25, 2020",11.40,11.40,11.42,11.36,805.00K,0.00%
"Aug 24, 2020",11.40,11.00,11.44,11.00,1.07M,3.64%
"Aug 21, 2020",11.00,10.80,11.04,10.80,1.12M,1.85%
"Aug 19, 2020",10.80,11.00,11.00,10.78,70.10K,-2.35%
"Aug 18, 2020",11.06,10.72,11.06,10.64,714.50K,3.75%
"Aug 17, 2020",10.66,10.94,10.94,10.60,421.50K,-2.56%
"Aug 14, 2020",10.94,10.78,10.94,10.72,218.10K,1.30%
"Aug 13, 2020",10.80,10.80,10.88,10.64,393.40K,0.00%
"Aug 12, 2020",10.80,10.80,10.82,10.74,189.90K,0.00%
"Aug 11, 2020",10.80,10.80,10.80,10.66,1.19M,0.00%
"Aug 10, 2020",10.80,10.78,10.86,10.70,182.30K,-0.55%
"Aug 07, 2020",10.86,10.86,10.86,10.62,349.70K,0.00%
"Aug 06, 2020",10.86,10.86,10.90,10.76,478.50K,-0.18%
"Aug 05, 2020",10.88,10.90,10.92,10.88,1.15M,-0.37%
"Aug 04, 2020",10.92,10.92,10.96,10.90,46.00K,0.00%
"Aug 03, 2020",10.92,10.90,11.06,10.90,1.05M,0.00%
