Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.500,0.500,0.500,0.500,-,0.00%
"Aug 28, 2020",0.500,0.500,0.505,0.500,627.40K,0.00%
"Aug 27, 2020",0.500,0.500,0.505,0.500,542.40K,-0.99%
"Aug 26, 2020",0.505,0.505,0.505,0.500,434.20K,0.00%
"Aug 25, 2020",0.505,0.510,0.510,0.500,432.00K,-0.98%
"Aug 24, 2020",0.510,0.495,0.510,0.495,593.50K,2.00%
"Aug 21, 2020",0.500,0.505,0.505,0.495,519.80K,-0.99%
"Aug 19, 2020",0.505,0.505,0.505,0.500,769.80K,0.00%
"Aug 18, 2020",0.505,0.510,0.510,0.500,399.70K,-0.98%
"Aug 17, 2020",0.510,0.510,0.510,0.495,663.90K,0.00%
"Aug 14, 2020",0.510,0.515,0.515,0.510,144.00K,-1.92%
"Aug 13, 2020",0.520,0.510,0.520,0.510,206.00K,2.97%
"Aug 12, 2020",0.505,0.520,0.520,0.505,671.80K,-2.88%
"Aug 11, 2020",0.520,0.530,0.535,0.520,275.80K,-0.95%
"Aug 10, 2020",0.525,0.540,0.540,0.525,529.90K,-1.87%
"Aug 07, 2020",0.535,0.545,0.545,0.535,942.50K,-1.83%
"Aug 06, 2020",0.545,0.555,0.555,0.540,792.50K,-1.80%
"Aug 05, 2020",0.555,0.545,0.565,0.535,1.16M,1.83%
"Aug 04, 2020",0.545,0.560,0.570,0.535,1.99M,-0.91%
"Aug 03, 2020",0.550,0.515,0.555,0.515,1.84M,6.80%
