Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.255,0.255,0.255,0.255,-,0.00%
"Aug 28, 2020",0.255,0.260,0.260,0.255,3.70K,-1.92%
"Aug 27, 2020",0.260,0.260,0.260,0.260,26.00K,-1.89%
"Aug 25, 2020",0.265,0.280,0.280,0.265,59.70K,-7.02%
"Aug 24, 2020",0.285,0.265,0.285,0.265,75.20K,7.55%
"Aug 21, 2020",0.265,0.280,0.280,0.265,69.00K,0.00%
"Aug 18, 2020",0.265,0.265,0.265,0.265,35.00K,0.00%
"Aug 14, 2020",0.265,0.265,0.265,0.265,2.90K,-13.11%
"Aug 13, 2020",0.305,0.305,0.305,0.305,0.40K,0.00%
"Aug 12, 2020",0.305,0.285,0.310,0.285,153.00K,1.67%
"Aug 11, 2020",0.300,0.345,0.345,0.300,850.70K,-3.23%
"Aug 10, 2020",0.310,0.270,0.320,0.265,612.60K,16.98%
"Aug 07, 2020",0.265,0.250,0.265,0.250,212.60K,6.00%
"Aug 06, 2020",0.250,0.230,0.250,0.230,179.90K,-3.85%
"Aug 04, 2020",0.260,0.250,0.260,0.230,131.00K,4.00%
"Aug 03, 2020",0.250,0.250,0.250,0.250,97.70K,-1.96%
