Date,Price,Open,High,Low,Vol.,Change %
"Sep 08, 2020",0.320,0.380,0.425,0.310,52.71M,-11.11%
"Sep 07, 2020",0.360,0.265,0.360,0.265,18.44M,35.85%
"Sep 04, 2020",0.265,0.245,0.290,0.235,1.22M,6.00%
"Sep 03, 2020",0.250,0.260,0.260,0.250,339.80K,-3.85%
"Sep 02, 2020",0.260,0.240,0.260,0.240,721.60K,8.33%
"Sep 01, 2020",0.240,0.245,0.245,0.240,334.50K,-2.04%
"Aug 28, 2020",0.245,0.265,0.265,0.245,289.00K,0.00%
"Aug 27, 2020",0.245,0.260,0.280,0.245,1.80M,8.89%
"Aug 26, 2020",0.225,0.225,0.225,0.225,190.00K,0.00%
"Aug 25, 2020",0.225,0.235,0.235,0.225,94.00K,0.00%
"Aug 24, 2020",0.225,0.225,0.235,0.225,236.00K,0.00%
"Aug 21, 2020",0.225,0.225,0.225,0.225,47.60K,0.00%
"Aug 19, 2020",0.225,0.225,0.225,0.225,25.00K,0.00%
"Aug 18, 2020",0.225,0.230,0.230,0.220,200.30K,-2.17%
"Aug 17, 2020",0.230,0.230,0.230,0.225,454.60K,0.00%
"Aug 14, 2020",0.230,0.245,0.245,0.230,435.60K,-6.12%
"Aug 13, 2020",0.245,0.240,0.245,0.240,422.50K,2.08%
"Aug 12, 2020",0.240,0.240,0.250,0.230,404.50K,-11.11%
"Aug 11, 2020",0.270,0.270,0.310,0.245,1.61M,0.00%
"Aug 10, 2020",0.270,0.220,0.270,0.220,680.60K,20.00%
