Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",2.80,2.93,2.94,2.80,261.30K,-1.75%
"Aug 28, 2020",2.85,2.87,2.92,2.84,360.60K,-0.35%
"Aug 27, 2020",2.86,2.88,2.89,2.84,236.10K,0.35%
"Aug 26, 2020",2.85,2.83,2.87,2.83,101.20K,0.71%
"Aug 25, 2020",2.83,2.85,2.88,2.83,195.90K,-0.70%
"Aug 24, 2020",2.85,2.88,2.93,2.84,524.50K,0.00%
"Aug 21, 2020",2.85,2.85,2.96,2.78,392.20K,0.71%
"Aug 19, 2020",2.83,2.82,2.85,2.82,75.20K,0.71%
"Aug 18, 2020",2.81,2.80,2.85,2.80,34.10K,0.36%
"Aug 17, 2020",2.80,2.81,2.83,2.76,87.00K,-0.36%
"Aug 14, 2020",2.81,2.90,2.90,2.80,66.20K,-1.40%
"Aug 13, 2020",2.85,2.84,2.90,2.83,266.90K,0.71%
"Aug 12, 2020",2.83,2.80,2.85,2.75,213.50K,0.00%
"Aug 11, 2020",2.83,2.90,2.90,2.78,122.80K,-0.70%
"Aug 10, 2020",2.85,2.92,2.92,2.80,316.60K,0.35%
"Aug 07, 2020",2.84,2.85,2.87,2.82,102.60K,-2.07%
"Aug 06, 2020",2.90,2.95,2.95,2.82,137.30K,0.69%
"Aug 05, 2020",2.88,2.90,2.92,2.86,138.90K,-0.35%
"Aug 04, 2020",2.89,2.82,2.90,2.82,151.30K,-0.34%
"Aug 03, 2020",2.90,2.79,2.90,2.75,633.40K,2.47%
