Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.120,0.135,0.135,0.120,28.29M,-14.29%
"Sep 14, 2020",0.140,0.145,0.145,0.135,7.05M,-3.45%
"Sep 11, 2020",0.145,0.135,0.145,0.135,6.06M,7.41%
"Sep 10, 2020",0.135,0.170,0.170,0.135,12.63M,-15.62%
"Sep 09, 2020",0.160,0.170,0.175,0.160,5.52M,-8.57%
"Sep 08, 2020",0.175,0.180,0.185,0.170,6.81M,-2.78%
"Sep 07, 2020",0.180,0.175,0.190,0.170,16.76M,5.88%
"Sep 04, 2020",0.170,0.165,0.175,0.160,6.80M,3.03%
"Sep 03, 2020",0.165,0.170,0.175,0.165,4.24M,-2.94%
"Sep 02, 2020",0.170,0.175,0.180,0.165,5.78M,-2.86%
"Sep 01, 2020",0.175,0.170,0.180,0.165,5.62M,2.94%
"Aug 28, 2020",0.170,0.180,0.180,0.170,7.06M,-5.56%
"Aug 27, 2020",0.180,0.185,0.185,0.175,4.94M,-2.70%
"Aug 26, 2020",0.185,0.180,0.190,0.170,5.00M,2.78%
"Aug 25, 2020",0.180,0.180,0.180,0.170,6.46M,0.00%
"Aug 24, 2020",0.180,0.195,0.195,0.175,6.85M,-7.69%
"Aug 21, 2020",0.195,0.200,0.200,0.190,5.92M,0.00%
"Aug 19, 2020",0.195,0.200,0.200,0.190,8.95M,2.63%
"Aug 18, 2020",0.190,0.180,0.200,0.180,12.68M,5.56%
"Aug 17, 2020",0.180,0.180,0.185,0.175,6.98M,2.86%
