Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.23,0.23,0.23,0.23,-,0.00%
"Aug 28, 2020",0.23,0.23,0.23,0.23,185.00K,0.00%
"Aug 27, 2020",0.23,0.25,0.25,0.23,239.00K,0.00%
"Aug 26, 2020",0.24,0.25,0.25,0.23,1.07M,0.00%
"Aug 25, 2020",0.24,0.24,0.25,0.23,1.12M,0.00%
"Aug 24, 2020",0.23,0.25,0.25,0.23,690.30K,0.00%
"Aug 21, 2020",0.23,0.21,0.25,0.21,951.90K,11.90%
"Aug 19, 2020",0.21,0.21,0.22,0.21,144.30K,-2.33%
"Aug 18, 2020",0.22,0.22,0.22,0.21,242.80K,0.00%
"Aug 17, 2020",0.22,0.21,0.22,0.21,90.00K,2.38%
"Aug 14, 2020",0.21,0.22,0.22,0.20,854.70K,-2.33%
"Aug 13, 2020",0.22,0.23,0.23,0.22,701.20K,-6.52%
"Aug 12, 2020",0.23,0.23,0.23,0.21,1.19M,-6.12%
"Aug 11, 2020",0.25,0.29,0.29,0.23,2.90M,-12.50%
"Aug 10, 2020",0.28,0.23,0.28,0.23,5.92M,27.27%
"Aug 07, 2020",0.22,0.23,0.23,0.22,1.03M,0.00%
"Aug 06, 2020",0.22,0.23,0.23,0.22,882.90K,0.00%
"Aug 05, 2020",0.22,0.20,0.24,0.20,3.59M,10.00%
"Aug 04, 2020",0.20,0.19,0.20,0.19,518.50K,2.56%
"Aug 03, 2020",0.19,0.19,0.19,0.19,369.20K,0.00%
