Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.455,0.450,0.455,0.445,665.70K,-1.09%
"Aug 28, 2020",0.460,0.485,0.485,0.455,1.07M,-5.15%
"Aug 27, 2020",0.485,0.495,0.495,0.485,2.21M,0.00%
"Aug 26, 2020",0.485,0.485,0.505,0.470,4.06M,4.30%
"Aug 25, 2020",0.465,0.440,0.470,0.435,3.58M,5.68%
"Aug 24, 2020",0.440,0.435,0.450,0.430,899.00K,1.15%
"Aug 21, 2020",0.435,0.430,0.440,0.425,361.60K,1.16%
"Aug 19, 2020",0.430,0.435,0.440,0.425,522.60K,0.00%
"Aug 18, 2020",0.430,0.425,0.435,0.420,656.10K,1.18%
"Aug 17, 2020",0.425,0.415,0.440,0.410,663.80K,3.66%
"Aug 14, 2020",0.410,0.430,0.430,0.410,777.80K,-5.75%
"Aug 13, 2020",0.435,0.450,0.455,0.430,1.41M,-3.33%
"Aug 12, 2020",0.450,0.475,0.475,0.435,3.49M,-5.26%
"Aug 11, 2020",0.475,0.550,0.555,0.460,5.97M,-12.84%
"Aug 10, 2020",0.545,0.505,0.555,0.495,11.01M,10.10%
"Aug 07, 2020",0.495,0.490,0.545,0.475,15.21M,4.21%
"Aug 06, 2020",0.475,0.445,0.490,0.440,5.78M,6.74%
"Aug 05, 2020",0.445,0.455,0.465,0.435,1.62M,-2.20%
"Aug 04, 2020",0.455,0.480,0.490,0.435,9.86M,-2.15%
"Aug 03, 2020",0.465,0.400,0.465,0.400,8.24M,17.72%
