Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.660,0.655,0.680,0.655,36.20K,1.54%
"Aug 28, 2020",0.650,0.675,0.675,0.650,227.10K,-1.52%
"Aug 27, 2020",0.660,0.675,0.675,0.660,184.70K,-2.94%
"Aug 26, 2020",0.680,0.675,0.690,0.660,256.40K,3.03%
"Aug 25, 2020",0.660,0.680,0.685,0.655,508.70K,-3.65%
"Aug 24, 2020",0.685,0.730,0.730,0.670,403.80K,-4.20%
"Aug 21, 2020",0.715,0.725,0.730,0.705,314.10K,-2.72%
"Aug 19, 2020",0.735,0.760,0.780,0.725,1.09M,-3.29%
"Aug 18, 2020",0.760,0.670,0.780,0.670,3.14M,12.59%
"Aug 17, 2020",0.675,0.680,0.710,0.650,338.40K,-2.17%
"Aug 14, 2020",0.690,0.735,0.735,0.650,1.52M,-6.12%
"Aug 13, 2020",0.735,0.760,0.800,0.730,1.11M,-2.00%
"Aug 12, 2020",0.750,0.805,0.900,0.740,2.19M,-13.79%
"Aug 11, 2020",0.870,1.150,1.200,0.850,6.00M,-13.00%
"Aug 10, 2020",1.000,1.000,1.000,1.000,4.37M,41.84%
"Aug 07, 2020",0.705,0.880,0.950,0.670,4.94M,-14.02%
"Aug 06, 2020",0.820,0.660,0.830,0.630,5.18M,24.24%
"Aug 05, 2020",0.660,0.690,0.695,0.645,538.10K,-4.35%
"Aug 04, 2020",0.690,0.700,0.785,0.680,3.06M,2.22%
"Aug 03, 2020",0.675,0.600,0.675,0.600,1.82M,8.87%
