Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.735,0.750,0.770,0.735,14.95M,-0.68%
"Nov 25, 2020",0.740,0.765,0.785,0.725,19.00M,-1.33%
"Nov 24, 2020",0.750,0.775,0.805,0.730,18.02M,-1.32%
"Nov 23, 2020",0.760,0.695,0.835,0.685,86.47M,11.76%
"Nov 20, 2020",0.680,0.760,0.760,0.670,21.15M,-9.33%
"Nov 19, 2020",0.750,0.795,0.795,0.740,14.39M,-3.23%
"Nov 18, 2020",0.775,0.735,0.820,0.720,57.01M,7.64%
"Nov 17, 2020",0.720,0.610,0.860,0.610,164.60M,24.14%
"Nov 16, 2020",0.580,0.560,0.580,0.555,4.40M,5.45%
"Nov 13, 2020",0.550,0.540,0.560,0.540,1.79M,1.85%
"Nov 12, 2020",0.540,0.550,0.550,0.540,1.32M,-1.82%
"Nov 11, 2020",0.550,0.545,0.570,0.545,4.63M,1.85%
"Nov 10, 2020",0.540,0.550,0.550,0.535,1.79M,-4.42%
"Nov 09, 2020",0.565,0.515,0.565,0.515,6.16M,9.71%
"Nov 06, 2020",0.515,0.530,0.530,0.515,1.46M,-2.83%
"Nov 05, 2020",0.530,0.530,0.535,0.515,1.61M,1.92%
"Nov 04, 2020",0.520,0.525,0.545,0.515,2.46M,0.00%
"Nov 03, 2020",0.520,0.585,0.595,0.520,11.01M,-11.11%
"Nov 02, 2020",0.585,0.495,0.610,0.490,23.82M,18.18%
"Oct 30, 2020",0.495,0.510,0.540,0.485,6.36M,-2.94%
"Oct 28, 2020",0.510,0.500,0.525,0.500,2.98M,2.00%
"Oct 27, 2020",0.500,0.490,0.510,0.490,842.30K,1.01%
"Oct 26, 2020",0.495,0.485,0.515,0.485,3.62M,3.13%
