Date,Price,Open,High,Low,Vol.,Change %
"Sep 08, 2020",0.025,0.020,0.025,0.015,258.03M,25.00%
"Sep 07, 2020",0.020,0.025,0.025,0.020,17.75M,-20.00%
"Sep 04, 2020",0.025,0.020,0.025,0.020,12.95M,25.00%
"Sep 03, 2020",0.020,0.025,0.025,0.020,35.14M,-20.00%
"Sep 02, 2020",0.025,0.025,0.030,0.020,224.86M,0.00%
"Sep 01, 2020",0.025,0.020,0.025,0.020,68.45M,25.00%
"Aug 28, 2020",0.020,0.025,0.025,0.020,20.09M,-20.00%
"Aug 27, 2020",0.025,0.025,0.025,0.020,24.48M,25.00%
"Aug 26, 2020",0.020,0.025,0.025,0.020,25.05M,0.00%
"Aug 25, 2020",0.020,0.020,0.025,0.020,12.33M,-20.00%
"Aug 24, 2020",0.025,0.020,0.025,0.020,22.98M,0.00%
"Aug 21, 2020",0.025,0.025,0.025,0.020,13.59M,0.00%
"Aug 19, 2020",0.025,0.020,0.025,0.020,26.20M,0.00%
"Aug 18, 2020",0.025,0.025,0.025,0.020,26.97M,25.00%
"Aug 17, 2020",0.020,0.020,0.025,0.015,77.80M,0.00%
"Aug 14, 2020",0.020,0.025,0.025,0.020,249.90M,0.00%
"Aug 13, 2020",0.020,0.025,0.030,0.020,116.89M,0.00%
"Aug 12, 2020",0.020,0.025,0.025,0.020,91.22M,-20.00%
"Aug 11, 2020",0.025,0.030,0.030,0.020,673.13M,-16.67%
"Aug 10, 2020",0.030,0.025,0.030,0.025,275.67M,50.00%
