Date,Price,Open,High,Low,Vol.,Change %
"Aug 28, 2020",0.900,0.895,0.900,0.895,418.30K,0.00%
"Aug 27, 2020",0.900,0.895,0.905,0.895,128.60K,0.00%
"Aug 26, 2020",0.900,0.895,0.900,0.895,115.30K,0.00%
"Aug 25, 2020",0.900,0.900,0.900,0.895,241.90K,-0.55%
"Aug 24, 2020",0.905,0.910,0.910,0.900,110.90K,-0.55%
"Aug 21, 2020",0.910,0.905,0.910,0.895,381.00K,1.11%
"Aug 19, 2020",0.900,0.895,0.900,0.895,207.70K,0.00%
"Aug 18, 2020",0.900,0.895,0.900,0.895,150.90K,0.00%
"Aug 17, 2020",0.900,0.895,0.900,0.890,269.70K,0.00%
"Aug 14, 2020",0.900,0.895,0.900,0.895,146.40K,0.00%
"Aug 13, 2020",0.900,0.900,0.900,0.890,544.80K,0.00%
"Aug 12, 2020",0.900,0.900,0.900,0.895,279.50K,-0.55%
"Aug 11, 2020",0.905,0.905,0.910,0.900,242.90K,0.56%
"Aug 10, 2020",0.900,0.905,0.905,0.890,324.80K,-0.55%
"Aug 07, 2020",0.905,0.895,0.905,0.895,312.70K,0.56%
"Aug 06, 2020",0.900,0.895,0.900,0.890,454.00K,0.00%
"Aug 05, 2020",0.900,0.890,0.900,0.890,252.60K,0.00%
"Aug 04, 2020",0.900,0.890,0.900,0.890,415.30K,0.00%
"Aug 03, 2020",0.900,0.890,0.900,0.890,488.80K,0.00%
