Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.350,0.345,0.350,0.345,785.10K,0.00%
"Aug 28, 2020",0.350,0.340,0.355,0.335,3.21M,2.94%
"Aug 27, 2020",0.340,0.360,0.360,0.340,3.46M,-5.56%
"Aug 26, 2020",0.360,0.340,0.365,0.340,7.59M,5.88%
"Aug 25, 2020",0.340,0.345,0.345,0.340,2.20M,1.49%
"Aug 24, 2020",0.335,0.330,0.345,0.330,1.47M,0.00%
"Aug 21, 2020",0.335,0.330,0.335,0.330,1.04M,1.52%
"Aug 19, 2020",0.330,0.325,0.335,0.325,1.01M,1.54%
"Aug 18, 2020",0.325,0.320,0.330,0.320,1.18M,1.56%
"Aug 17, 2020",0.320,0.325,0.325,0.320,1.01M,-1.54%
"Aug 14, 2020",0.325,0.335,0.335,0.320,2.81M,-2.99%
"Aug 13, 2020",0.335,0.345,0.350,0.330,1.97M,-1.47%
"Aug 12, 2020",0.340,0.320,0.355,0.315,5.07M,4.62%
"Aug 11, 2020",0.325,0.330,0.330,0.320,1.40M,-1.52%
"Aug 10, 2020",0.330,0.330,0.335,0.320,2.05M,3.13%
"Aug 07, 2020",0.320,0.345,0.345,0.320,1.94M,-7.25%
"Aug 06, 2020",0.345,0.305,0.345,0.305,8.04M,13.11%
"Aug 05, 2020",0.305,0.310,0.310,0.300,1.40M,-1.61%
"Aug 04, 2020",0.310,0.315,0.315,0.305,2.47M,0.00%
"Aug 03, 2020",0.310,0.295,0.315,0.295,8.88M,12.73%
