Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.645,0.625,0.645,0.625,7.00K,-0.77%
"Nov 24, 2020",0.650,0.650,0.655,0.620,12.00K,0.00%
"Nov 20, 2020",0.650,0.645,0.650,0.645,6.00K,0.78%
"Nov 19, 2020",0.645,0.655,0.660,0.610,124.00K,1.57%
"Nov 18, 2020",0.635,0.700,0.700,0.620,109.80K,-6.62%
"Nov 17, 2020",0.680,0.700,0.700,0.635,46.00K,-1.45%
"Nov 16, 2020",0.690,0.690,0.700,0.685,114.00K,3.76%
"Nov 13, 2020",0.665,0.650,0.750,0.620,121.40K,2.31%
"Nov 12, 2020",0.650,0.645,0.650,0.620,20.50K,0.00%
"Nov 10, 2020",0.650,0.640,0.650,0.640,5.00K,1.56%
"Nov 09, 2020",0.640,0.615,0.640,0.615,82.00K,-0.78%
"Nov 05, 2020",0.645,0.610,0.645,0.610,135.00K,2.38%
"Nov 03, 2020",0.630,0.565,0.630,0.560,28.60K,0.80%
"Oct 28, 2020",0.625,0.610,0.625,0.610,7.50K,-0.79%
"Oct 26, 2020",0.630,0.630,0.635,0.605,8.00K,0.00%
