Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.620,1.610,1.620,1.610,31.30K,0.62%
"Aug 28, 2020",1.610,1.630,1.630,1.610,234.70K,-1.83%
"Aug 27, 2020",1.640,1.670,1.670,1.620,628.60K,-2.96%
"Aug 26, 2020",1.690,1.680,1.690,1.640,688.70K,0.60%
"Aug 25, 2020",1.680,1.630,1.690,1.630,597.90K,1.20%
"Aug 24, 2020",1.660,1.670,1.680,1.610,735.10K,0.00%
"Aug 21, 2020",1.660,1.670,1.670,1.610,750.00K,0.00%
"Aug 19, 2020",1.660,1.610,1.670,1.610,911.20K,3.11%
"Aug 18, 2020",1.610,1.590,1.610,1.590,796.90K,1.90%
"Aug 17, 2020",1.580,1.540,1.620,1.530,848.60K,3.27%
"Aug 14, 2020",1.530,1.500,1.530,1.500,1.01M,2.68%
"Aug 13, 2020",1.490,1.500,1.530,1.490,2.00M,-0.67%
"Aug 12, 2020",1.500,1.500,1.500,1.480,785.60K,0.00%
"Aug 11, 2020",1.500,1.480,1.540,1.470,1.36M,2.04%
"Aug 10, 2020",1.470,1.460,1.470,1.450,963.00K,0.68%
"Aug 07, 2020",1.460,1.470,1.480,1.450,896.30K,0.00%
"Aug 06, 2020",1.460,1.460,1.480,1.450,1.51M,0.00%
"Aug 05, 2020",1.460,1.480,1.500,1.460,2.18M,-2.01%
"Aug 04, 2020",1.490,1.500,1.510,1.480,1.04M,-0.67%
"Aug 03, 2020",1.500,1.540,1.540,1.500,1.39M,-2.60%
