Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.220,1.220,1.220,1.220,-,0.00%
"Aug 28, 2020",1.220,1.210,1.220,1.210,7.40K,0.83%
"Aug 27, 2020",1.210,1.210,1.220,1.210,27.80K,-0.82%
"Aug 26, 2020",1.220,1.210,1.220,1.200,30.70K,0.83%
"Aug 25, 2020",1.210,1.210,1.210,1.210,6.00K,0.00%
"Aug 24, 2020",1.210,1.210,1.210,1.210,17.00K,0.83%
"Aug 21, 2020",1.200,1.210,1.210,1.200,10.00K,-1.64%
"Aug 19, 2020",1.220,1.220,1.220,1.210,38.50K,1.67%
"Aug 18, 2020",1.200,1.210,1.220,1.200,10.00K,-0.83%
"Aug 17, 2020",1.210,1.210,1.210,1.210,0.10K,0.00%
"Aug 14, 2020",1.210,1.210,1.210,1.200,12.30K,0.00%
"Aug 13, 2020",1.210,1.210,1.210,1.200,28.70K,0.00%
"Aug 12, 2020",1.210,1.200,1.210,1.200,13.60K,0.00%
"Aug 11, 2020",1.210,1.210,1.220,1.200,70.60K,-1.63%
"Aug 10, 2020",1.230,1.230,1.230,1.220,19.30K,0.00%
"Aug 07, 2020",1.230,1.220,1.230,1.220,18.20K,-0.81%
"Aug 06, 2020",1.240,1.230,1.240,1.200,51.80K,0.81%
"Aug 05, 2020",1.230,1.210,1.230,1.210,37.80K,-2.38%
"Aug 04, 2020",1.260,1.290,1.290,1.260,65.90K,-2.33%
"Aug 03, 2020",1.290,1.290,1.290,1.280,97.60K,0.00%
