Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.360,1.340,1.360,1.340,43.90K,4.62%
"Nov 25, 2020",1.300,1.330,1.330,1.300,55.80K,-2.26%
"Nov 24, 2020",1.330,1.320,1.340,1.320,43.70K,0.76%
"Nov 23, 2020",1.320,1.340,1.340,1.320,63.00K,-1.49%
"Nov 20, 2020",1.340,1.350,1.360,1.340,81.40K,-0.74%
"Nov 19, 2020",1.350,1.360,1.360,1.350,10.50K,-0.74%
"Nov 18, 2020",1.360,1.350,1.370,1.350,57.50K,0.74%
"Nov 17, 2020",1.350,1.300,1.350,1.300,88.20K,2.27%
"Nov 16, 2020",1.320,1.270,1.320,1.270,297.80K,3.94%
"Nov 13, 2020",1.270,1.260,1.270,1.260,34.70K,0.00%
"Nov 12, 2020",1.270,1.270,1.270,1.260,38.00K,0.79%
"Nov 11, 2020",1.260,1.260,1.270,1.260,66.20K,0.00%
"Nov 10, 2020",1.260,1.250,1.260,1.250,12.00K,0.80%
"Nov 09, 2020",1.250,1.250,1.250,1.240,7.40K,0.81%
"Nov 06, 2020",1.240,1.250,1.250,1.240,39.00K,-0.80%
"Nov 05, 2020",1.250,1.240,1.250,1.240,23.00K,0.81%
"Nov 04, 2020",1.240,1.250,1.250,1.240,9.70K,0.81%
"Nov 03, 2020",1.230,1.230,1.230,1.230,9.70K,0.00%
"Nov 02, 2020",1.230,1.230,1.230,1.220,33.00K,0.00%
"Oct 30, 2020",1.230,1.250,1.250,1.230,40.30K,0.00%
"Oct 28, 2020",1.230,1.230,1.250,1.230,32.10K,1.65%
"Oct 27, 2020",1.210,1.200,1.210,1.200,102.80K,0.83%
"Oct 26, 2020",1.200,1.180,1.200,1.180,25.00K,0.00%
