Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",14.44,14.60,14.60,14.40,7.70K,1.12%
"Aug 28, 2020",14.28,14.24,14.46,14.24,107.70K,-1.11%
"Aug 27, 2020",14.44,14.50,14.50,14.40,80.60K,-0.41%
"Aug 26, 2020",14.50,14.64,14.68,14.40,69.60K,0.00%
"Aug 25, 2020",14.50,14.78,14.78,14.48,80.40K,-1.36%
"Aug 24, 2020",14.70,14.60,14.80,14.60,309.90K,0.27%
"Aug 21, 2020",14.66,14.66,14.70,14.64,130.00K,0.14%
"Aug 19, 2020",14.64,14.60,14.68,14.56,265.80K,0.97%
"Aug 18, 2020",14.50,14.48,14.52,14.40,157.50K,0.97%
"Aug 17, 2020",14.36,14.22,14.50,14.22,104.00K,0.84%
"Aug 14, 2020",14.24,14.14,14.30,14.08,51.80K,1.42%
"Aug 13, 2020",14.04,14.00,14.20,14.00,35.10K,0.43%
"Aug 12, 2020",13.98,13.98,14.00,13.94,24.20K,0.00%
"Aug 11, 2020",13.98,13.92,14.02,13.92,62.20K,0.00%
"Aug 10, 2020",13.98,13.90,13.98,13.90,13.20K,0.14%
"Aug 07, 2020",13.96,14.02,14.06,13.96,57.00K,-0.14%
"Aug 06, 2020",13.98,14.00,14.00,13.98,43.90K,-0.14%
"Aug 05, 2020",14.00,14.00,14.02,13.96,84.10K,0.00%
"Aug 04, 2020",14.00,14.10,14.20,13.98,55.40K,-0.71%
"Aug 03, 2020",14.10,13.96,14.30,13.90,206.30K,1.00%
