Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.570,0.565,0.575,0.560,1.30M,0.00%
"Aug 28, 2020",0.570,0.575,0.580,0.565,5.21M,-2.56%
"Aug 27, 2020",0.585,0.590,0.590,0.580,1.18M,-0.85%
"Aug 26, 2020",0.590,0.595,0.610,0.590,3.47M,1.72%
"Aug 25, 2020",0.580,0.595,0.600,0.580,2.45M,-2.52%
"Aug 24, 2020",0.595,0.590,0.605,0.580,3.30M,0.85%
"Aug 21, 2020",0.590,0.585,0.595,0.580,1.38M,0.85%
"Aug 19, 2020",0.585,0.585,0.595,0.580,2.07M,-0.85%
"Aug 18, 2020",0.590,0.595,0.595,0.580,2.84M,0.85%
"Aug 17, 2020",0.585,0.585,0.600,0.570,3.60M,0.86%
"Aug 14, 2020",0.580,0.610,0.610,0.580,4.47M,-4.92%
"Aug 13, 2020",0.610,0.625,0.625,0.600,4.13M,-0.81%
"Aug 12, 2020",0.615,0.620,0.635,0.580,18.12M,-5.38%
"Aug 11, 2020",0.650,0.585,0.655,0.580,48.86M,12.07%
"Aug 10, 2020",0.580,0.580,0.590,0.565,3.20M,0.00%
"Aug 07, 2020",0.580,0.605,0.610,0.575,3.65M,-3.33%
"Aug 06, 2020",0.600,0.600,0.610,0.590,11.57M,2.56%
"Aug 05, 2020",0.585,0.560,0.585,0.550,4.54M,6.36%
"Aug 04, 2020",0.550,0.565,0.570,0.540,2.22M,-0.90%
"Aug 03, 2020",0.555,0.560,0.560,0.545,2.83M,-1.77%
