Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",12.30,12.12,12.48,12.12,101.80K,1.65%
"Aug 28, 2020",12.10,12.50,12.62,12.10,299.40K,-3.51%
"Aug 27, 2020",12.54,12.40,12.54,12.40,479.90K,0.32%
"Aug 26, 2020",12.50,12.38,12.50,12.30,387.00K,0.81%
"Aug 25, 2020",12.40,12.30,12.48,12.10,333.70K,0.00%
"Aug 24, 2020",12.40,12.08,12.44,12.04,568.10K,2.65%
"Aug 21, 2020",12.08,12.10,12.18,12.00,174.70K,0.00%
"Aug 19, 2020",12.08,12.08,12.18,11.84,84.20K,0.67%
"Aug 18, 2020",12.00,11.94,12.08,11.92,273.50K,0.50%
"Aug 17, 2020",11.94,11.46,11.94,11.00,132.80K,2.05%
"Aug 14, 2020",11.70,11.98,11.98,11.50,54.70K,-2.34%
"Aug 13, 2020",11.98,11.80,11.98,11.80,263.40K,1.53%
"Aug 12, 2020",11.80,11.28,11.90,10.50,216.90K,3.69%
"Aug 11, 2020",11.38,11.62,11.64,11.32,183.70K,-1.90%
"Aug 10, 2020",11.60,12.00,12.02,11.60,145.50K,-3.33%
"Aug 07, 2020",12.00,12.28,12.28,12.00,144.90K,-2.28%
"Aug 06, 2020",12.28,12.30,12.36,11.50,414.10K,0.00%
"Aug 05, 2020",12.28,12.26,12.48,12.26,155.80K,0.16%
"Aug 04, 2020",12.26,12.02,12.50,12.02,608.40K,2.17%
"Aug 03, 2020",12.00,12.26,12.26,11.72,557.70K,-2.28%
