Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.495,0.510,0.515,0.465,30.20M,-1.00%
"Aug 28, 2020",0.500,0.470,0.530,0.465,108.65M,8.70%
"Aug 27, 2020",0.460,0.430,0.460,0.425,19.79M,8.24%
"Aug 26, 2020",0.425,0.430,0.440,0.425,8.86M,-1.16%
"Aug 25, 2020",0.430,0.435,0.435,0.420,6.67M,-1.15%
"Aug 24, 2020",0.435,0.430,0.450,0.425,20.14M,1.16%
"Aug 21, 2020",0.430,0.435,0.440,0.425,6.59M,-1.15%
"Aug 19, 2020",0.435,0.405,0.440,0.405,33.30M,7.41%
"Aug 18, 2020",0.405,0.390,0.410,0.385,16.86M,-5.81%
"Aug 17, 2020",0.430,0.435,0.445,0.430,13.50M,1.18%
"Aug 14, 2020",0.425,0.425,0.435,0.420,9.43M,0.00%
"Aug 13, 2020",0.425,0.425,0.425,0.410,8.06M,1.19%
"Aug 12, 2020",0.420,0.430,0.430,0.395,16.25M,-1.18%
"Aug 11, 2020",0.425,0.440,0.445,0.425,12.18M,-2.30%
"Aug 10, 2020",0.435,0.450,0.450,0.425,26.10M,-1.14%
"Aug 07, 2020",0.440,0.445,0.450,0.410,34.97M,-1.12%
"Aug 06, 2020",0.445,0.445,0.475,0.435,49.17M,3.49%
"Aug 05, 2020",0.430,0.395,0.430,0.390,46.00M,8.86%
"Aug 04, 2020",0.395,0.385,0.395,0.380,20.21M,3.95%
"Aug 03, 2020",0.380,0.385,0.390,0.375,6.67M,-1.30%
