Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.620,0.630,0.640,0.620,126.40K,-8.82%
"Nov 25, 2020",0.680,0.670,0.680,0.670,3.60K,1.49%
"Nov 24, 2020",0.670,0.680,0.680,0.670,14.50K,-1.47%
"Nov 23, 2020",0.680,0.680,0.680,0.680,5.00K,1.49%
"Nov 20, 2020",0.670,0.670,0.670,0.670,5.00K,-1.47%
"Nov 19, 2020",0.680,0.680,0.680,0.675,66.20K,1.49%
"Nov 17, 2020",0.670,0.670,0.670,0.670,5.00K,-1.47%
"Nov 16, 2020",0.680,0.650,0.680,0.650,100.00K,4.62%
"Nov 10, 2020",0.650,0.620,0.650,0.620,52.00K,8.33%
"Oct 30, 2020",0.600,0.600,0.620,0.595,10.70K,0.00%
"Oct 28, 2020",0.600,0.600,0.600,0.600,9.00K,-2.44%
