Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.195,0.205,0.210,0.195,151.03M,-2.50%
"Sep 14, 2020",0.200,0.205,0.210,0.195,252.37M,0.00%
"Sep 11, 2020",0.200,0.180,0.205,0.180,320.69M,8.11%
"Sep 10, 2020",0.185,0.205,0.210,0.185,276.22M,-7.50%
"Sep 09, 2020",0.200,0.225,0.230,0.195,467.28M,-13.04%
"Sep 08, 2020",0.230,0.230,0.235,0.220,251.29M,0.00%
"Sep 07, 2020",0.230,0.240,0.250,0.230,136.80M,-4.17%
"Sep 04, 2020",0.240,0.225,0.250,0.215,310.93M,4.35%
"Sep 03, 2020",0.230,0.240,0.245,0.220,202.04M,-6.12%
"Sep 02, 2020",0.245,0.255,0.265,0.235,389.30M,-5.77%
"Sep 01, 2020",0.260,0.260,0.275,0.235,450.06M,0.00%
"Aug 28, 2020",0.260,0.320,0.325,0.245,1.39B,-18.75%
"Aug 27, 2020",0.320,0.370,0.395,0.310,1.56B,8.47%
"Aug 26, 2020",0.295,0.265,0.300,0.255,563.10M,18.00%
"Aug 25, 2020",0.250,0.215,0.260,0.205,631.71M,6.38%
"Aug 24, 2020",0.235,0.215,0.235,0.210,333.13M,11.90%
"Aug 21, 2020",0.210,0.200,0.210,0.195,289.90M,7.69%
"Aug 19, 2020",0.195,0.185,0.210,0.180,616.71M,2.63%
"Aug 18, 2020",0.190,0.195,0.195,0.175,328.86M,-5.00%
"Aug 17, 2020",0.200,0.240,0.240,0.200,412.06M,-16.67%
