Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.125,0.125,0.125,0.125,-,0.00%
"Aug 28, 2020",0.125,0.130,0.135,0.125,905.70K,-7.41%
"Aug 27, 2020",0.135,0.125,0.140,0.125,3.24M,8.00%
"Aug 26, 2020",0.125,0.120,0.125,0.120,1.04M,4.17%
"Aug 25, 2020",0.120,0.120,0.130,0.120,1.95M,0.00%
"Aug 24, 2020",0.120,0.120,0.125,0.120,1.29M,0.00%
"Aug 21, 2020",0.120,0.110,0.120,0.110,322.70K,4.35%
"Aug 19, 2020",0.115,0.105,0.130,0.105,3.59M,9.52%
"Aug 18, 2020",0.105,0.105,0.105,0.105,260.00K,0.00%
"Aug 17, 2020",0.105,0.100,0.105,0.100,170.00K,5.00%
"Aug 14, 2020",0.100,0.110,0.110,0.100,964.00K,-13.04%
"Aug 13, 2020",0.115,0.115,0.115,0.110,475.00K,0.00%
"Aug 12, 2020",0.115,0.115,0.115,0.105,772.30K,0.00%
"Aug 11, 2020",0.115,0.135,0.135,0.115,3.60M,-14.81%
"Aug 10, 2020",0.135,0.120,0.135,0.115,5.70M,17.39%
"Aug 07, 2020",0.115,0.100,0.115,0.100,2.09M,15.00%
"Aug 06, 2020",0.100,0.100,0.105,0.095,668.40K,0.00%
"Aug 05, 2020",0.100,0.095,0.100,0.095,541.20K,5.26%
"Aug 04, 2020",0.095,0.090,0.095,0.090,80.00K,0.00%
