Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",2.530,2.570,2.570,2.510,180.00K,-1.56%
"Aug 28, 2020",2.570,2.620,2.630,2.510,557.00K,-1.15%
"Aug 27, 2020",2.600,2.680,2.680,2.590,966.50K,-1.89%
"Aug 26, 2020",2.650,2.670,2.700,2.600,1.60M,4.33%
"Aug 25, 2020",2.540,2.620,2.730,2.530,5.60M,0.79%
"Aug 24, 2020",2.520,2.430,2.630,2.430,1.16M,4.13%
"Aug 21, 2020",2.420,2.420,2.440,2.400,123.70K,0.83%
"Aug 19, 2020",2.400,2.450,2.530,2.400,262.80K,-2.04%
"Aug 18, 2020",2.450,2.400,2.450,2.360,342.80K,2.08%
"Aug 17, 2020",2.400,2.430,2.430,2.350,311.40K,-1.23%
"Aug 14, 2020",2.430,2.500,2.500,2.360,624.20K,-2.41%
"Aug 13, 2020",2.490,2.560,2.560,2.480,492.30K,-2.35%
"Aug 12, 2020",2.550,2.620,2.720,2.420,965.90K,-0.39%
"Aug 11, 2020",2.560,2.700,2.700,2.500,633.40K,-3.76%
"Aug 10, 2020",2.660,2.670,2.780,2.610,1.41M,2.31%
"Aug 07, 2020",2.600,2.750,2.760,2.580,815.20K,-5.11%
"Aug 06, 2020",2.740,2.850,2.900,2.710,1.77M,-2.14%
"Aug 05, 2020",2.800,2.490,2.830,2.470,3.11M,13.36%
"Aug 04, 2020",2.470,2.550,2.580,2.460,705.00K,-1.20%
"Aug 03, 2020",2.500,2.450,2.560,2.450,1.04M,2.88%
