Date,Price,Open,High,Low,Vol.,Change %
"Aug 27, 2020",0.160,0.160,0.160,0.160,48.00K,0.00%
"Aug 24, 2020",0.160,0.155,0.160,0.155,129.50K,0.00%
"Aug 21, 2020",0.160,0.130,0.160,0.130,1.50K,23.08%
"Aug 19, 2020",0.130,0.130,0.130,0.130,0.20K,0.00%
"Aug 18, 2020",0.130,0.130,0.130,0.130,10.00K,0.00%
"Aug 14, 2020",0.130,0.130,0.130,0.130,10.60K,-7.14%
"Aug 13, 2020",0.140,0.145,0.145,0.140,175.00K,0.00%
"Aug 12, 2020",0.140,0.140,0.140,0.135,281.20K,-6.67%
"Aug 11, 2020",0.150,0.150,0.150,0.150,230.40K,-16.67%
"Aug 10, 2020",0.180,0.140,0.180,0.140,393.40K,33.33%
"Aug 07, 2020",0.135,0.115,0.135,0.115,131.60K,35.00%
"Aug 06, 2020",0.100,0.100,0.100,0.100,5.90K,-4.76%
"Aug 04, 2020",0.105,0.110,0.110,0.105,13.00K,-4.55%
"Aug 03, 2020",0.110,0.115,0.115,0.110,26.10K,-8.33%
