Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.090,0.090,0.130,0.085,144.31M,12.50%
"Sep 14, 2020",0.080,0.065,0.080,0.065,6.95M,14.29%
"Sep 11, 2020",0.070,0.070,0.070,0.065,2.51M,0.00%
"Sep 10, 2020",0.070,0.075,0.075,0.065,3.29M,-6.67%
"Sep 09, 2020",0.075,0.070,0.080,0.070,6.83M,0.00%
"Sep 08, 2020",0.075,0.075,0.080,0.065,6.83M,0.00%
"Sep 07, 2020",0.075,0.075,0.080,0.075,2.32M,-6.25%
"Sep 04, 2020",0.080,0.075,0.080,0.075,2.30M,0.00%
"Sep 03, 2020",0.080,0.080,0.080,0.075,9.40M,0.00%
"Sep 02, 2020",0.080,0.085,0.085,0.080,6.56M,-5.88%
"Sep 01, 2020",0.085,0.085,0.095,0.080,10.36M,0.00%
"Aug 28, 2020",0.085,0.085,0.090,0.080,15.74M,6.25%
"Aug 27, 2020",0.080,0.080,0.090,0.080,9.93M,-5.88%
"Aug 26, 2020",0.085,0.070,0.090,0.070,19.54M,13.33%
"Aug 25, 2020",0.075,0.080,0.085,0.070,6.26M,-6.25%
"Aug 24, 2020",0.080,0.080,0.090,0.080,7.98M,0.00%
"Aug 21, 2020",0.080,0.085,0.085,0.075,3.26M,-5.88%
"Aug 19, 2020",0.085,0.080,0.085,0.075,10.56M,0.00%
"Aug 18, 2020",0.085,0.085,0.095,0.080,11.38M,-15.00%
"Aug 17, 2020",0.100,0.060,0.100,0.060,36.19M,66.67%
