CompanyName,Hyperlink,DownloadStatus,DownloadErrorFrequency,Remark,VolumnIndicatorProcess,VolumnIndicatorResult,Empty,Empty
Vivocom Intl Holdings Bhd,/equities/vivocom-intl-holdings-bhd,To be processed,1,,,,,
JAKS Resources Bhd,/equities/jaks-resources-bhd,To be processed,1,,,,,
G Capital Bhd,/equities/gunung-capital-bhd,To be processed,1,,,,,
Solution Engineering Holdings Bhd,/equities/solution-engineering-holdings-bhd,To be processed,1,,,,,
YTL Corporation Bhd,/equities/ytl-corporation-bhd,To be processed,1,,,,,
Mah Sing Group Bhd,/equities/mah-sing-group-bhd,To be processed,1,,,,,
Iconic Worldwide Bhd,/equities/sanbumi-holdings-bhd,To be processed,1,,,,,
Hibiscus Petroleum BHD,/equities/hibiscus-petroleum-bhd,To be processed,1,,,,,
JCY International Bhd,/equities/jcy-international-bhd,To be processed,1,,,,,
Focus Dynamics Group Bhd,/equities/focus-dynamics-group-bhd,To be processed,1,,,,,
Tomypak Holdings Bhd,/equities/tomypak-holdings-bhd,To be processed,1,,,,,
Serba Dinamik Holdings Bhd,/equities/serba-dinamik-holdings-bhd,To be processed,1,,,,,
Datasonic Group Bhd,/equities/datasonic-group-bhd,To be processed,1,,,,,
Cahya Mata Sarawak Bhd,/equities/cahya-mata-sarawak-bhd,To be processed,1,,,,,
MY EG Services Bhd,/equities/my-eg-services-bhd,To be processed,1,,,,,
Bintai Kinden Corporation Bhd,/equities/bintai-kinden-corporation-bhd,To be processed,1,,,,,
Airasia Bhd,/equities/airasia-bhd,To be processed,1,,,,,
Macpie Bhd,/equities/sterling-progress-bhd,To be processed,1,,,,,
Hextar Global Bhd,/equities/halex-holdings-bhd,To be processed,1,,,,,
Dayang Enterprise Holdings Bhd,/equities/dayang-enterprise-holdings-bhd,To be processed,1,,,,,
Public Packages Holdings Bhd,/equities/public-packages-holdings,To be processed,1,,,,,
AEON Co (Malaysia) Bhd,/equities/aeon-co-(m)-bhd,To be processed,1,,,,,
Malaysia Building Society Bhd,/equities/malaysia-building-society-bhd,To be processed,1,,,,,
Tiong Nam Logistics Holdings Bhd,/equities/tiong-nam-logistics-holdings-bhd,To be processed,1,,,,,
JHM Consolidation Bhd,/equities/jhm-consolidation-bhd,To be processed,1,,,,,
Notion Vtec Bhd,/equities/notion-vtec-bhd,To be processed,1,,,,,
D O Green Technologies Bhd,/equities/d-o-green-technologies-bhd,To be processed,1,,,,,
Carimin Petroleum Bhd,/equities/carimin-petroleum-bhd,To be processed,1,,,,,
HLT Global Bhd,/equities/hlt-global-bhd,To be processed,1,,,,,
Uzma Bhd,/equities/uzma-bhd,To be processed,1,,,,,
Ho Wah Genting Bhd,/equities/ho-wah-genting-bhd,To be processed,1,,,,,
Ideal Jacobs Malaysia Corporation Bhd,/equities/ideal-jacobs-malaysia-corporation,To be processed,1,,,,,
Felda Global Ventures Holdings Bhd,/equities/felda-global-ventures-holdings-bhd,To be processed,1,,,,,
Cypark Resources Berhad,/equities/cypark-resources-berhad,To be processed,1,,,,,
Ekovest Bhd,/equities/ekovest-bhd,To be processed,1,,,,,
Karex,/equities/karex,To be processed,1,,,,,
OpenSys M Bhd,/equities/opensys-m-bhd,To be processed,1,,,,,
ES Ceramics Technology Bhd,/equities/es-ceramics-technology-bhd,To be processed,1,,,,,
Aemulus Holdings Bhd,/equities/aemulus-holdings-bhd,To be processed,1,,,,,
Hong Seng Consolidated Bhd,/equities/panpages-bhd,To be processed,1,,,,,
Petra Energy Bhd,/equities/petra-energy-bhd,To be processed,1,,,,,
HeiTech Padu Bhd,/equities/heitech-padu-bhd,To be processed,1,,,,,
IOI Properties Group Bhd,/equities/ioi-properties-group-bhd,To be processed,1,,,,,
POS Malaysia&Services Holdings Bhd,/equities/pos-malaysia-services-holdings-bhd,To be processed,1,,,,,
Solarvest Holdings Bhd,/equities/solarvest-holdings-bhd,To be processed,1,,,,,
HeveaBoard Bhd,/equities/heveaboard-bhd,To be processed,1,,,,,
IJM Corporation Bhd,/equities/ijm-corporation-bhd,To be processed,1,,,,,
Euro Holdings Bhd,/equities/euro-holdings-bhd,To be processed,1,,,,,
Eonmetall Group Bhd,/equities/eonmetall-group-bhd,To be processed,1,,,,,
Malaysian Genomics Resource,/equities/malaysian-genomics-resource,To be processed,1,,,,,
Boustead Plantations Bhd,/equities/boustead-plantations-bhd,To be processed,1,,,,,
LKL International Bhd,/equities/lkl-international-bhd,To be processed,1,,,,,
Kronologi Asia Bhd,/equities/kronologi-asia-bhd,To be processed,1,,,,,
Hexza Corporation Bhd,/equities/hexza-corporation-bhd,To be processed,1,,,,,
GDB Holdings Bhd,/equities/gdb,To be processed,1,,,,,
Naim Holdings Bhd,/equities/naim-holdings-bhd,To be processed,1,,,,,
MMC Corporation Bhd,/equities/mmc-corporation-bhd,To be processed,1,,,,,
Appasia Bhd,/equities/appasia-bhd,To be processed,1,,,,,
Sime Darby Property Bhd,/equities/sime-darby-property,To be processed,1,,,,,
TSH Resources Bhd,/equities/tsh-resources-bhd,To be processed,1,,,,,
Johore Tin Bhd,/equities/johore-tin-bhd,To be processed,1,,,,,
Iskandar Waterfront City Bhd,/equities/iskandar-waterfront-city-bhd,To be processed,1,,,,,
RGT Bhd,/equities/asia-knight-bhd,To be processed,1,,,,,
Jaya Tiasa Holdings Bhd,/equities/jaya-tiasa-holdings-bhd,To be processed,1,,,,,
Eg Industries Bhd,/equities/eg-industries-bhd,To be processed,1,,,,,
GHL Systems Bhd,/equities/ghl-systems-bhd,To be processed,1,,,,,
YTL Power International Bhd,/equities/ytl-power-international-bhd,To be processed,1,,,,,
Ann Joo Resources Bhd,/equities/ann-joo-resources-bhd,To be processed,1,,,,,
Komarkcorp Bhd,/equities/komarkcorp-bhd,To be processed,1,,,,,
Goodway Integrated Industries,/equities/goodway-integrated-industries,To be processed,1,,,,,
FoundPac Group Bhd,/equities/foundpac-group-bhd,To be processed,1,,,,,
Dnonce Tech Bhd,/equities/dnonce-tech-bhd,To be processed,1,,,,,
Focus Point Holdings Bhd,/equities/focus-point-holdings-bhd,To be processed,1,,,,,
IGB Real Estate Investment Trust,/equities/igb-real-estate-investment-trust,To be processed,1,,,,,
PNE PCB Bhd,/equities/pne-pcb-bhd,To be processed,1,,,,,
N2N Connect Bhd,/equities/n2n-connect-bhd,To be processed,1,,,,,
George Kent (Malaysia) Bhd,/equities/george-kent-(malaysia)-bhd,To be processed,1,,,,,
Saudee Group Bhd,/equities/saudee-group-bhd,To be processed,1,,,,,
Homeritz Corporation Bhd,/equities/homeritz-corporation-bhd,To be processed,1,,,,,
Mtag Group Berhad,/equities/mtag-group-berhad,To be processed,1,,,,,
Muhibbah Engineering M Bhd,/equities/muhibbah-engineering-m-bhd,To be processed,1,,,,,
